id,likeNum,commentsLen,reposts_count,region,content,created_at,type,detailUrl,authorName,authorDetail
5167602411768464,17042,1678,433,无,"此前,日本大坂的烧烤店""炭火烧鸟hayashin"",日前贴出告示用不流利的中文写:""有很多人没有礼貌,我们不允许中国顾客光临我们的商店。感谢您的理解。""对此,该烧烤店所属的餐饮控股集团""sasaya""公司12日在官网发布中文简体,日文的道歉告示。告示称,该店铺营运负责人未经公司许可,擅自张贴争议告示,公司已撤下,并为感到不快的顾客致歉。另有网友在社媒上传照片称,该店目前已经歇业,不过总公司道歉声明并未提及。(潇湘晨报记者彭昕宇)",2025-05-18,榜单,https://weibo.com/5167602411768464/PsmE97q3C,潇湘晨报,https://weibo.com/u/1655444627
5167731457655117,249382,38380,65124,北京,"一开一合之间,藏海 扭转干坤",2025-05-18,榜单,https://weibo.com/5167731457655117/Psq0hw7rD,肖战工作室,https://weibo.com/u/6643123988
5167380524696926,17113,1103,686,无,"北京东城,烤鸭店老板对前员工狂言""我保证你10年内别想拿到钱!""女法官霸气回击:""11.3万元的工资给人3000元,换谁谁能接受,查封!""据悉,查封当晚,烤鸭店给付申请人三万元,承诺后续每个月给付5000元,目前双方达成和解,烤鸭店已解除查封,正常营业中。 ",2025-05-17,榜单,https://weibo.com/5167380524696926/PsgSgjHSS,北京时间,https://weibo.com/u/2992050891
5166849352270297,49671,5505,1420,北京,"十年饮冰,难凉热血! 小米造芯路,始于2014年9月。时间过得好快,转眼十多年过去了…… 图二,图三是2017年2月小米首次芯片发布会照片。",2025-05-16,榜单,https://weibo.com/5166849352270297/Ps33x9wBH,雷军,https://weibo.com/u/1749127163
5167190282338338,23831,1970,200,浙江,"放生了养了372天的猫咪,动不动扑过来就疯狂撕咬",2025-05-17,榜单,https://weibo.com/5167190282338338/PsbVq9Oj8,图图和糊涂,https://weibo.com/u/6221479822
5167246169342996,30516,861,383,福建,芋圆和干妈成功会面!- ̗̀ ෆ( ˶'ᵕ'˶)ෆ ̖́-,2025-05-17,榜单,https://weibo.com/5167246169342996/PsdnyDcxu,我不是地球人我什么人,https://weibo.com/u/1806572040
5167699560235911,1528510,232920,330749,北京,"藏海,今日启程!",2025-05-18,榜单,https://weibo.com/5167699560235911/PspaQ0Zn1,X玖少年团肖战DAYTOY,https://weibo.com/u/1792951112
5167318423832376,39747,2711,391,无," 近日,多名消费者反映,带孩子去广西桂林一网红咖啡店时被告知,禁止12岁以下儿童入内。消费者称,在团购平台未见到任何""禁童""标识,到现场沟通后仍被拒绝。 5月16日上午,涉事咖啡店——山里有座咖啡馆(状元桥店)店长回应 称,店门口有相关提醒。不接待12岁以下儿童并非歧视孩子,而是从安全角度考量。一方面店内活动空间小,另一方面店内楼梯未设置扶手,露台及二楼观景台是开放式设计,担心儿童受伤。""会进一步改进,尽量让更多人知道这条规定,不要再走冤枉路。""店长称,门店也会想办法,妥善解决已经带孩子来到现场的大人的实际需求。 安徽大湖律师事务所律师汪俊认为,店家不让12岁孩子入内,客观上限制和约束了部分带孩子消费者的消费选择权,甚至会让这部分群体感到不被尊重。汪俊认为,没有栏杆对成人消费者也存在安全风险,因此咖啡店不能仅以孩子安全为由拒绝接待,而忽视了成人消费者的安全需求。""‘儿童友好’既是一种社会责任,也是一种商业盈利模式,如果店家担心门店有安全隐患,就需要采取全面的安全措施,确保所有消费者的安全,并在门店里做好安全提醒""。( 记者 方佳伟 视频剪辑;程晓丹)",2025-05-17,榜单,https://weibo.com/5167318423832376/Psfg6g4Yw,合新闻,https://weibo.com/u/1856446532
5167709995401357,338864,56061,86735,北京, 白切黑的藏大人,2025-05-18,榜单,https://weibo.com/5167709995401357/PsprFmF8F,肖战工作室,https://weibo.com/u/6643123988
5167741015168472,72276,10003,40559,法国,"与 一起,解锁我的新地标 去冒险,去感知,去发光 ",2025-05-18,榜单,https://weibo.com/5167741015168472/PsqfHlGys,周也yeah,https://weibo.com/u/6741964788
5167258028737492,34411,2485,195,湖南,"韩国出租车司机问中国游客:""为什么你们中国人总是说韩国吃不起西瓜和水果?还说韩国太小了,真是太不像话了!!""",2025-05-17,榜单,https://weibo.com/5167258028737492/PsdGGAF1i,蓝色的烟卷,https://weibo.com/u/5851772043
5166998589805821,26310,523,2961,广西,"主人祈祷时,狗狗偷偷亲了主人一下《抱一抱》",2025-05-16,榜单,https://weibo.com/5166998589805821/Ps6WeF8Wp,全是狗狗啊,https://weibo.com/u/3505975850
5167628173450675,26694,515,1859,四川,大家都不去ktv和spa了,2025-05-18,榜单,https://weibo.com/5167628173450675/PsnjHetG3,卢克文,https://weibo.com/u/1875293522
5167041604748223,271676,165746,258488,重庆,"最近考试了,压力有点大,我现在的心情是:卡布基诺阿萨西诺萨护拉 得啦啦嘞嘞得啦啦啦,蹦吧低里罗过过低里洛😂😂😂哈哈哈哈!大家知道我在说什么吗,你们要猜猜不🍪🍊🖊️📝",2025-05-16,榜单,https://weibo.com/5167041604748223/Ps83CjVef,TF家族-陈奕恒Jonathan,https://weibo.com/u/6320179782
5167652864789005,99744,13777,31371,浙江,二搭了《憧憬》又吃上橄榄啦《哇》《哇》《哇》《哇》《哇》,2025-05-18,榜单,https://weibo.com/5167652864789005/PsnXwk5Q1,孔雪儿,https://weibo.com/u/1885611142
5167614427924686,271305,13822,18106,北京," 记得多年前在""燃烧吧!少年""遇到 ,他还是个略带羞涩但很有礼貌的大男孩,这次对戏已经妥妥的是个沉稳且有爆发力的男演员了,还特地传了简讯感谢我陪他完成了一场很重要的戏,当年那个谦逊有礼的少年还在,真好。很荣幸受邀参加 制作如此精良的剧组,当然还有我一直都很喜欢的 30见~",2025-05-18,榜单,https://weibo.com/5167614427924686/PsmXwxfzw,陳妍希michelle,https://weibo.com/u/1347118243
5166999115404522,131389,123076,187117,浙江,熘🐶,2025-05-16,榜单,https://weibo.com/5166999115404522/Ps6X5mFXI,Mr_刘学义,https://weibo.com/u/1975672810
5166743515037711,34504,1395,298,上海,"婚礼的一天,我感受到最多幸福的一天《泪》 请到了喜欢了很多年的摄影师 圆梦了《泪》",2025-05-16,榜单,https://weibo.com/5166743515037711/Ps0iPl8xp,深夜徐老师,https://weibo.com/u/1770418834
5167781584569124,51600,4214,6394,无,3w福利第一弹!折腰抱来啦!,2025-05-18,榜单,https://weibo.com/5167781584569124/Psrj8jaDy,腾讯电视剧,https://weibo.com/u/3752699924
5167680403280633,18913,518,613,无,"今天,王楚钦孙颖莎晋级多哈世乒赛混双次轮。赛后 表示,莎头组合半年多没有国际比赛配合,默契还是在的。   (人民日报记者 孙龙飞)",2025-05-18,榜单,https://weibo.com/5167680403280633/PsoFWdLrr,人民日报,https://weibo.com/u/2803301701
5167678641668559,23600,4075,4104,上海, ☀  耳畔的旋律织成情绪的星河 蔚蓝色的星河此刻尽收眼底。  和周深 在声音中遇见最真实的自己。,2025-05-18,榜单,https://weibo.com/5167678641668559/PsoD6704f,周深工作室,https://weibo.com/u/7478855230
5167306251962583,26161,652,844,海南,"周末愉快,事事顺心!",2025-05-17,榜单,https://weibo.com/5167306251962583/PseWt8eyz,赵立坚个人微博,https://weibo.com/u/7286955267
5167687543817686,11380,282,7800,广东,英语进步最快的方式,2025-05-18,榜单,https://weibo.com/5167687543817686/PsoRsg19A,伯文,https://weibo.com/u/5585126261
5167682489683226,32862,877,1412,卡塔尔," 混双1/32决赛,王楚钦/孙颖莎3-0梁吉善/王艾米,赛后采访",2025-05-18,榜单,https://weibo.com/5167682489683226/PsoJiED34,ITTF国际乒联,https://weibo.com/u/3515112791
5167306109092133,27062,362,352,陕西,"上学丢你书本,剪你头发,拽你辫子,往你身上泼水,造你谣,毕业后告诉你,一直喜欢你,你去医院看过没有?",2025-05-17,榜单,https://weibo.com/5167306109092133/PseWeC9hj,liu_iiiiiirich,https://weibo.com/u/6276227682
5167335335788704,19453,322,3817,山东,杭州前市长回到了他忠诚的杭州,2025-05-17,榜单,https://weibo.com/5167335335788704/PsfHnohUc,AMNH680,https://weibo.com/u/3809780584
5167688323436273,68290,1829,735,上海,"""给你发了八年的和发了八天的确实不一样""王楚钦和孙颖莎从2017年开始配对混双,到2025年已有8年啦",2025-05-18,榜单,https://weibo.com/5167688323436273/PsoSIepVL,不拿拿香蕉猫,https://weibo.com/u/1859841950
5167062625554237,27582,634,512,四川,"774《有图》男朋友人生中第一次烘焙,在小小小烤箱里发生异变",2025-05-16,榜单,https://weibo.com/5167062625554237/Ps8BwniUt,我真的只想做个饭而已,https://weibo.com/u/7866392693
5167752189055024,33380,829,60,北京,"藏海传开播开局9广,第一集收视率1.5667%,站内热度最高7179,猫眼热度登顶,你们看了吗质感如何? ",2025-05-18,榜单,https://weibo.com/5167752189055024/PsqxIBZCM,病毒妹儿,https://weibo.com/u/7735366409
